MapNumber,2
MapTip,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MapTip,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
MapTip,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MapTip,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
MapTip,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
MapTip,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
MapTip,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
MapTip,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MapTip,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MapTip,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MapTip,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MapTip,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MapTip,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MapTip,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
